node_id,node_attr
207,occupational exposure
208,cough with mucus production
209,hand_hygiene
210,intensive_care_unit
211,immunization_against_hib
212,nausea
213,kidney_damage
214,difficulty breathing
215,low blood oxygen levels
216,fatigue
217,symptom_evaluation
218,antifungal therapy
219,community health worker intervention
220,seasonal variation
221,muscle_aches
222,airway examination
223,immunization_against_pertussis
224,medical history review
225,chronic heart disease
226,alveolar consolidation
227,antifungals
228,intravenous antibiotic administration
229,mechanical_ventilation
230,inflammation of air sacs
231,diagnostic tests
232,epidemiology
233,computed_tomography_scan
234,pulse oximetry
235,ultrasound
236,blood gas test
237,diarrhea
238,rapid_breathing
239,pleural_rub
240,pulling inward of intercostal muscles when breathing
241,sars-cov-2 infection
242,fever
243,nutritional support
244,lower-than-normal temperature
245,keeping immune system strong
246,reducing_indoor_air_pollution
247,oxygen therapy
248,morbidity risk
249,infection type
250,nutritional_support
251,hygienic practices
252,physical_examination
253,chest pain during breathing or coughing
254,pulmonology
255,fluid and pus in air sacs
256,diabetes mellitus
257,tiredness and lack of energy
258,amoxicillin
259,sweating
260,varicella-zoster virus infection
261,pleural space fluid
262,oral_antibiotics
263,immunization_against_measles
264,disorientation
265,chest radiography
266,covering_mouth_and_nose
267,stop_smoking
268,geriatric population
269,cardiac complications
270,immunocompromised state
271,lung abscesses
272,extreme fatigue
273,respiratory syncytial virus infection
274,weakened immune system
275,community-based diagnosis
276,recent travel
277,severe hospitalization
278,mortality risk
279,antipyretics
280,not_following_treatment_plan
281,pain_management
282,exclusive breastfeeding
283,sputum_culture
284,loss of appetite
285,age
286,depression
287,regular_exercise
288,pneumococcus bacteria
289,low_oxygen_saturation
290,immune function
291,pneumonia development
292,hand hygiene
293,pneumonia transmission
294,germ_transmission
295,impaired gas exchange
296,septic shock
297,organ or bone marrow transplant
298,hiv/aids
299,brain disorders
300,long-term steroid use
301,pregnancy
302,chemotherapy
303,ventilator-associated pneumonia
304,hospital-acquired pneumonia
305,critical diseases
306,hospital setting
307,immunity
308,immunization against measles
309,immunization against influenza
310,immunization against pertussis
311,varicella
312,streptococcus pneumoniae infection
313,measles
314,influenza
315,pertussis
316,haemophilus influenzae type b infection
317,infection
318,covid-19
319,severe_pneumonia
320,pneumococcal_infection
321,varicella infection
322,sars-cov-2
323,viral pathogens
324,influenza infection
325,rhinovirus
326,measles infection
327,influenza virus
328,respiratory syncytial virus (rsv)
329,viral pneumonia
330,bacterial_pneumonia
331,bacterial pneumonia
332,antiviral medication
333,dehydration
334,pneumonia diagnosis
335,laboratory testing
336,community health worker training
337,bacterial pathogens
338,streptococcal infection
339,legionella pneumophila
340,pertussis infection
341,streptococcus pneumoniae
342,mycoplasma pneumoniae
343,sputum culture
344,moderate pneumonia
345,haemophilus_influenzae_type_b_infection
346,weakened_immune_system
347,sneezing
348,coughing
349,complications
350,pneumonia mortality
351,measles_infection
352,infant immune system
353,pneumonia in infants
354,surface decontamination
355,avoiding close contact with sick individuals
356,respiratory etiquette
357,limiting tobacco smoke exposure
358,chronic disease management
359,fungal_pneumonia
360,antibiotic administration
361,air pollution
362,toxic fumes
363,crowded places
364,pneumonia symptoms
365,drug or alcohol use
366,smoking cigarettes
367,balanced nutrition
368,pneumonia survivors
369,other serious conditions
370,liver disease
371,sickle cell disease
372,heart failure
373,diabetes
374,kidney disease
375,influenza_infection
376,reducing indoor air pollution
377,pneumonia severity
378,pneumonia management
379,global health guidelines
380,severe pneumonia treatment
381,pneumonia susceptibility
382,white blood cell count
383,fungus
384,viral_pneumonia
385,virus
386,impaired_lung_function
387,community-acquired pneumonia
388,mycoplasma pneumoniae infection
389,pneumocystis jirovecii
390,treatment
391,vaccination programs
392,access to healthcare
393,health education
394,elevated white blood cell count
395,infected_lung_tissue
396,hospital admission
397,intensive care
398,low_oxygen_levels
399,chest tube insertion
400,trained community health workers
401,mild pneumonia
402,oral antibiotics
403,pertussis_infection
404,pneumonia incidence
405,blood oxygen level
406,older adults 65 or older
407,children 2 years old or younger
408,intensive_care
409,community health worker
410,low blood oxygen level
411,organ failure
412,pneumonia recovery
413,asthma management
414,pneumonia treatment
415,pneumonia_recurrence
416,treatment_for_severe_pneumonia
417,high-risk pneumonia
418,infant
419,regular physical activity
